id,date,type,amount,category,concept,ref_type,ref_id,client_id,notes,archived,deleted
T59,2026-04-06,expense,-8.89,equipment,AliExpress 3071265259189173 equipment purchase,,,,INV76 Cama P2S; PEI 257×257 X1/P1P/P1S.,,
T60,2026-04-06,expense,-11.89,equipment,AliExpress 3071265259209173 equipment purchase,,,,INV76 Cama P2S; cool plate 256×256 double-sided spring steel.,,
T61,2026-04-10,expense,-78.84,filament,Bambu Lab EN719228283798581249,,,,,,
T62,2026-04-11,expense,-8.99,consumable,Amazon 171-0350329-2660323 isopropanol 1L,,,,INV57; stock purchase.,,
T63,2026-04-15,expense,-6.05,equipment,AliExpress 3071527165179173 equipment purchase,,,,INV73 Boquilla 0.2 P2S.,,
T64,2026-04-15,expense,-3.51,consumable,AliExpress 3071527165199173 consumable purchase,,,,INV67 Calcetines A1 mi; 10 silicone socks.,,
T65,2026-04-15,expense,-4.78,equipment,AliExpress 3071527165219173 equipment purchase,,,,INV69 Boquilla 0.2 A1 mini; hotend kit 0.2mm.,,
T66,2026-04-15,expense,-2.97,equipment,AliExpress 3071527165239173 equipment purchase,,,,INV83 Limpia boquinas palo.,,
T67,2026-04-15,expense,-2.98,consumable,AliExpress 3071527165279173 consumable purchase,,,,INV82 silicona Limpia boquilla.,,
T68,2026-04-15,expense,-3.15,consumable,AliExpress 3071527165259173 consumable purchase,,,,INV68 Calcetines P2S; P2S silicone hotend socks 10pcs.,,
T69,2026-04-17,expense,-1.5,equipment,AliExpress 3071331044379173 equipment purchase,,,,INV81 support tools.,,
